"startTime","name","startX","startY","startDirection","endTime","endX","endY","endDirection","diffX","diffY","diffD","Radius1","Radius2","robotDist","leftMotorDist","rightMotorDist","leftMotorSpeed","rightMotorSpeed"
"0.64","test","1.0","3.4300000071525574","180.0","0.66","1.0","3.420000007376075","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.66","test","1.0","3.420000007376075","180.0","0.68","1.0","3.410000007599592","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.68","test","1.0","3.410000007599592","180.0","0.7","1.0","3.4000000078231096","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413144","0.49999998882413144"
"0.7","test","1.0","3.4000000078231096","180.0","0.72","1.0","3.390000008046627","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.72","test","1.0","3.390000008046627","180.0","0.74","1.0","3.3800000082701445","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.74","test","1.0","3.3800000082701445","180.0","0.76","1.0","3.370000008493662","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.76","test","1.0","3.370000008493662","180.0","0.78","1.0","3.3600000087171793","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.78","test","1.0","3.3600000087171793","180.0","0.8","1.0","3.3500000089406967","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.8","test","1.0","3.3500000089406967","180.0","0.82","1.0","3.340000009164214","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413144","0.49999998882413144"
"0.82","test","1.0","3.340000009164214","180.0","0.84","1.0","3.3300000093877316","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.84","test","1.0","3.3300000093877316","180.0","0.86","1.0","3.320000009611249","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.86","test","1.0","3.320000009611249","180.0","0.88","1.0","3.3100000098347664","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
