"time","name","x","y","direction","nextX","nextY","nextDirection"
"1.56","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997568","1.4699998","180.0"
"1.58","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997568","1.4599998","180.14"
"1.6","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997325","1.4499998","180.168"
"1.62","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997032","1.4399998","180.168"
"1.64","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4996738","1.4299998","180.0"
"1.66","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4996738","1.4199998","180.0"
"1.68","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4996738","1.4099998","180.0"
"1.7","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4996738","1.3999999","179.804"
"1.72","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499708","1.3899999","180.0"
"1.74","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499708","1.3799999","179.804"
"1.76","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499742","1.3699999","180.0"
"1.78","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499742","1.3599999","179.972"
"1.8","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997468","1.3499999","179.916"
"1.82","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997613","1.3399999","180.0"
"1.84","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997613","1.3299999","179.804"
"1.86","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997954","1.3199999","179.804"
"1.88","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998295","1.31","179.804"
"1.9","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998636","1.3","179.804"
"1.92","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4998977","1.29","179.804"
